Model parameters : 76,109,685
batch:    0/ 885, loss: 0.2369, cer: 2.52, elapsed: 3.29s 0.05m 0.00h
batch:   10/ 885, loss: 0.2196, cer: 2.37, elapsed: 10.44s 0.23m 0.00h
batch:   20/ 885, loss: 0.2153, cer: 1.99, elapsed: 10.02s 0.40m 0.01h
batch:   30/ 885, loss: 0.2068, cer: 1.68, elapsed: 10.29s 0.57m 0.01h
batch:   40/ 885, loss: 0.2000, cer: 1.51, elapsed: 10.45s 0.74m 0.01h
batch:   50/ 885, loss: 0.1943, cer: 1.41, elapsed: 10.22s 0.91m 0.02h
batch:   60/ 885, loss: 0.1899, cer: 1.35, elapsed: 10.13s 1.08m 0.02h
batch:   70/ 885, loss: 0.1869, cer: 1.30, elapsed: 9.47s 1.24m 0.02h
batch:   80/ 885, loss: 0.1840, cer: 1.26, elapsed: 10.09s 1.41m 0.02h
batch:   90/ 885, loss: 0.1803, cer: 1.23, elapsed: 10.67s 1.58m 0.03h
batch:  100/ 885, loss: 0.1772, cer: 1.20, elapsed: 10.42s 1.76m 0.03h
batch:  110/ 885, loss: 0.1750, cer: 1.19, elapsed: 9.26s 1.91m 0.03h
batch:  120/ 885, loss: 0.1728, cer: 1.17, elapsed: 9.75s 2.08m 0.03h
batch:  130/ 885, loss: 0.1702, cer: 1.16, elapsed: 10.23s 2.25m 0.04h
batch:  140/ 885, loss: 0.1686, cer: 1.15, elapsed: 9.61s 2.41m 0.04h
batch:  150/ 885, loss: 0.1671, cer: 1.14, elapsed: 9.83s 2.57m 0.04h
batch:  160/ 885, loss: 0.1653, cer: 1.13, elapsed: 9.59s 2.73m 0.05h
batch:  170/ 885, loss: 0.1638, cer: 1.12, elapsed: 10.11s 2.90m 0.05h
batch:  180/ 885, loss: 0.1623, cer: 1.11, elapsed: 9.68s 3.06m 0.05h
batch:  190/ 885, loss: 0.1610, cer: 1.11, elapsed: 9.57s 3.22m 0.05h
batch:  200/ 885, loss: 0.1598, cer: 1.10, elapsed: 9.83s 3.38m 0.06h
batch:  210/ 885, loss: 0.1587, cer: 1.09, elapsed: 9.53s 3.54m 0.06h
batch:  220/ 885, loss: 0.1575, cer: 1.09, elapsed: 9.49s 3.70m 0.06h
batch:  230/ 885, loss: 0.1565, cer: 1.08, elapsed: 9.44s 3.86m 0.06h
batch:  240/ 885, loss: 0.1552, cer: 1.08, elapsed: 9.55s 4.02m 0.07h
batch:  250/ 885, loss: 0.1540, cer: 1.07, elapsed: 9.89s 4.18m 0.07h
batch:  260/ 885, loss: 0.1528, cer: 1.06, elapsed: 9.77s 4.34m 0.07h
batch:  270/ 885, loss: 0.1516, cer: 1.06, elapsed: 10.06s 4.51m 0.08h
batch:  280/ 885, loss: 0.1503, cer: 1.05, elapsed: 10.11s 4.68m 0.08h
batch:  290/ 885, loss: 0.1492, cer: 1.05, elapsed: 10.51s 4.85m 0.08h
batch:  300/ 885, loss: 0.1484, cer: 1.04, elapsed: 9.48s 5.01m 0.08h
